Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.575
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.989
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.453
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.261
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.841
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.892
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.173
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.723
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.1926829268293
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.868
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.677
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.174
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.968
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.393
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.4572195121951
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.6951219512195
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.854
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.088
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.136
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.609
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.467
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.225
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.647
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.009
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.849
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.795
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.6585365853659
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.731
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.566
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.808
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.416
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.833
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6704878048781
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.604
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.777
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.264
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.377
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.077
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.769
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.166
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.739
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.785
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.277
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.032
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.7243902439024
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.567
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.391
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.2268292682927
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6024390243903
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.694
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.649
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.889
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.153
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.99
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.061
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.708
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.133
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.5951219512195
Eswatini,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.692
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.371
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.1975609756098
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.924
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.9317073170732
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.1756097560976
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.217
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.531
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.612
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.765
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.0414634146342
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.114
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.198
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2878048780488
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.6368292682927
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.924
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.612
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.797
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.327
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.999
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.486
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.052
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.462
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,85.4975609756098
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.5682926829269
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.0634146341463
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.15
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.808
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.832
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.123
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.5560975609756
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.588
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.6487804878049
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.1951219512195
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.869
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.56
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.184
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.37
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.675
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.266
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.274
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.4268292682927
Kosovo,XKX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.567
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.92
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.497
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.1853658536585
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.804
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.693
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.948
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.472
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6585365853659
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.9780487804878
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.1439024390244
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,85.184
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.182
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.717
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.938
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.875
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.633
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.3487804878049
Marshall Islands,MHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.977
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.532
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1770731707317
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.133
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.674
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.166
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mongolia,MNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.141
Montenegro,MNE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.9317073170732
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.92
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.172
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.797
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.829
Nauru,NRU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.437
Nepal,NPL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.246
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.3585365853659
New Caledonia,NCL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.8349512195122
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.2560975609756
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.795
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.451
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.887
North Macedonia,MKD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.3951219512195
Northern Mariana Islands,MNP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.209756097561
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.757
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.269
Palau,PLW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.657
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.787
Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.182
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.665
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.119
Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.5
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9756097560976
Puerto Rico,PRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.041
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.099
Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.2536585365854
